,especie,chroma_stft,chroma_cqt,chroma_cens,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc,melspectrogram,onset_detect,rmse,zero_crossing_rate,freqmin,freqmax,duration
790,12_Myrmotherula_ambigua,0.3083810522361166,0.6641988671901253,0.2810279932401343,4970.146712004161,3563.604343513716,7410.945490056818,-12.195115892028475,0.01409143573084456,180.952380952381,0.014275819994509218,0.18771750710227272,1881.75475,3076.923096,5.107095000000001
791,12_Myrmotherula_ambigua,0.3605358505240415,0.6654641882565405,0.2797516323954362,5319.846512962054,3482.6377704822467,8058.141053397699,-11.103685145032003,0.01902575154795277,217.7551020408164,0.016715779900550842,0.2057069022700472,2069.9301760000008,3188.811279,4.917943000000001
792,12_Myrmotherula_ambigua,0.3010426799073406,0.6831836958042338,0.28208931084316863,5237.82488607788,3675.354876163537,7832.203155202964,-13.758752501914527,0.006148885800045292,187.19047619047615,0.00999192986637354,0.19605121415914947,1686.766077,2965.034912,4.502219
793,12_Myrmotherula_ambigua,0.3221529831129961,0.7201399458497098,0.28441398940580065,5187.451366482439,3689.1329318037,7690.688821543818,-13.991710736063325,0.0047837362219965715,188.8125,0.009332217276096344,0.1988405974014945,1846.153809,3020.979004,4.268336999999999
794,12_Myrmotherula_ambigua,0.4298269769494539,0.6936572418364104,0.2821267559311897,5476.865375842316,4811.462231087581,10875.53779516327,-11.094057068697015,0.007659841576555555,348.7234042553192,0.007412889041006566,0.17385898547226122,1624.497655,5215.272759,8.259358
795,12_Myrmotherula_ambigua,0.43416511248014544,0.6672053398735995,0.27952195436892524,5644.277506627546,4655.9433009095455,10201.04354984504,-10.078686541766434,0.016883934684869678,228.175,0.012461064383387566,0.1920418227014463,1902.0979,3076.923096,5.616904
796,12_Myrmotherula_ambigua,0.34173850952200124,0.6907752556532794,0.28158122212518993,6187.093025243144,4406.876227886405,9727.324715307202,-10.376355528918102,0.010434822493375948,237.4,0.0127696692943573,0.27027490352602906,1790.2097170000004,3132.867188,4.788180999999998
797,12_Myrmotherula_ambigua,0.4843914768452519,0.6678578301600538,0.278301051995722,5282.851530554387,4640.444527023183,9460.676125919117,-7.020274582962482,0.041075017396113384,223.46666666666667,0.017291493713855743,0.14620946034663865,1958.04187,2965.034912,5.524824000000002
798,12_Myrmotherula_ambigua,0.4554031052433694,0.6561196006779718,0.27894537319565194,5305.801569626173,4679.401066028183,9851.675052966102,-8.292202497384105,0.03550838322606785,193.64285714285717,0.015932461246848106,0.14020056181900725,1815.638735,3076.923096,4.788179999999997
799,12_Myrmotherula_ambigua,0.4482610791627435,0.6707631422037965,0.28105102897794576,5564.510495829051,4907.527838860509,11022.242989445363,-11.417083072757375,0.00906369030569351,229.5217391304348,0.009182415902614594,0.1769852459299117,1846.153809,3356.643555,5.2485829999999964
800,12_Myrmotherula_ambigua,0.4682808688475669,0.5942862458213624,0.27252744685578395,5602.3956998003905,4926.219696286908,10933.894272876962,-10.275220149850057,0.009357342133055587,228.40425531914886,0.009044867008924484,0.17724499894899104,1678.321777,2965.034912,5.171703999999999
801,12_Myrmotherula_ambigua,0.33762097807248515,0.6885816848823675,0.2807889768741181,6493.033329301121,4736.127129225878,11362.203196580498,-7.872518636178294,0.01977178812480052,101.6896551724138,0.01790408231317997,0.2548086755562827,1286.713257,2909.091064,2.2119339999999994
802,12_Myrmotherula_ambigua,0.3059009149767743,0.6797906163067607,0.2807021363057473,6423.282876909956,4822.479465707629,11508.294418010306,-5.401977067351731,0.1024854050393688,184.77777777777771,0.03680554404854775,0.23224006815159576,2013.986084,3592.851462,4.35455
803,12_Myrmotherula_ambigua,0.31981623024460065,0.6644878029046551,0.2777692114643292,6639.3028219377675,5166.154694294742,12874.855116547129,-6.205120334982596,0.09316576329451916,188.03030303030303,0.02767256461083889,0.21377646857923496,2181.818359,3188.811279,4.245002000000003
804,12_Myrmotherula_ambigua,0.34833867096700205,0.6577994322966063,0.2812975553977514,6741.563799082903,5206.494809610674,13184.057999853057,-5.783143138665887,0.03888988278662224,150.53333333333333,0.0214836448431015,0.22428793593260188,1720.9908920000007,3300.699219,3.696163
805,12_Myrmotherula_ambigua,0.4076884930109713,0.6996948403283074,0.28274284266749644,6640.1821872219825,5057.81678998739,12702.34112317049,-6.5230657329678055,0.04224112525582102,141.7037037037037,0.022753726691007614,0.2347458465189873,1566.433594,3580.419434000001,3.6592010000000004
806,12_Myrmotherula_ambigua,0.35171202511032845,0.5784583125209806,0.27338826254998305,6505.6670313225695,5131.577167295687,12726.212768554688,-4.734531132997397,0.09667153086896957,112.26666666666668,0.030552279204130176,0.2130757649739584,2069.9301760000008,3300.699219,2.776173
807,12_Myrmotherula_ambigua,0.3180352808690136,0.6466847271106436,0.2772958713127727,6618.050124056199,5174.397553339427,13020.564753605771,-5.859317883058193,0.12718476396265746,151.8181818181818,0.03340661898255348,0.21901592548076929,2125.874023,3076.923096,3.767664
808,12_Myrmotherula_ambigua,0.32383447815412003,0.590274050390055,0.27042718347329797,6527.98048695916,5140.890709085347,12854.743416078629,-5.262976349406896,0.14432738416977164,179.86,0.035560380667448044,0.2123524655577957,2069.9301760000008,3412.587402,4.312983999999998
809,12_Myrmotherula_ambigua,0.2904124349608485,0.6090216228972074,0.2759580002773341,6112.801530415373,4788.6507130503505,11473.247708267903,-5.603456430545127,0.25896656107314536,220.29411764705884,0.04820322245359422,0.20548911549937185,1958.04187,3244.755371,4.610430999999998
810,12_Myrmotherula_ambigua,0.3143437237574924,0.6418147081165819,0.2779532508643186,6299.977479724472,5044.1196532215035,12436.149828361744,-5.52864379094877,0.1742245630814506,300.3,0.039274051785469055,0.20392400568181812,1510.489502,3468.53125,6.890858999999999
811,12_Myrmotherula_ambigua,0.3769099003741017,0.6440338872438286,0.2782154291925785,5128.335451890252,4413.455288144747,9001.275570518092,-11.54708984303472,0.02096815909007272,188.2692307692308,0.01332575175911188,0.17208958675986846,1510.489502,3356.643555,4.400188
812,12_Myrmotherula_ambigua,0.3673014822289165,0.6386835723878053,0.2768802542800858,5138.96566512538,4574.709411762399,9693.892978100066,-8.728476131674745,0.030299365449220312,173.41666666666663,0.016163436695933342,0.15860959316821807,1734.265625,3188.811279,4.3622549999999976
