especie,chroma_stft,chroma_cqt,chroma_cens,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc,melspectrogram,feature.tonnetz,onset_detect,rmse,zero_crossing_rate,spectral_flatness,pitch,freqmin,freqmax,duration
1-Amazona_farinosa,0.37382390785138203,0.5817652508486056,0.2744621829634936,4324.827520917631,3738.467949308908,6560.95166015625,-18.81071848847248,0.008857424210366824,-0.005203531144392489,100.51282051282051,0.010450359433889387,0.13586181640625,0.017075859010219574,0.18000000000000005,1286.713257,6433.566406,2.3165720000000007
1-Amazona_farinosa,0.37632969444364733,0.5880554213892548,0.2777552353166399,4292.788990112641,3846.928600729175,6714.2650335607395,-18.82439415288216,0.00843426697087885,-0.00537464590535733,70.52941176470588,0.009793833829462528,0.13283657020246478,0.020513541996479038,-0.27,1286.713257,5090.90918,1.6426610000000004
1-Amazona_farinosa,0.4068106869169907,0.5903567821878937,0.27262450234227675,4270.594659346605,3555.0556710220817,6551.0703125,-18.751286596500922,0.021079131296612357,-0.006681840590605445,98.55882352941177,0.014588947407901287,0.14053168402777774,0.018912190571427345,-0.16999999999999998,839.1608890000001,5986.013672,2.6114089999999983
1-Amazona_farinosa,0.348329009995401,0.5739620439996939,0.272256736924899,4516.039791759763,3966.1286129209916,7255.657922436377,-19.276011689581505,0.009600467935321506,-0.003802911612302226,90.70370370370372,0.00998755544424057,0.13935605351796407,0.02879628725349903,0.27,1118.8811039999998,5090.90918,1.9374970000000005
1-Amazona_farinosa,0.4027443427145328,0.6376209393280179,0.27699261601279324,5184.102108046772,4822.647170634624,10029.33629587156,-19.29614453879655,0.0014377402615593316,-0.007933240301251273,102.90697674418604,0.003977606538683176,0.14280882669151376,0.04825434461236,-0.18,1510.489502,4587.412598,2.5271699999999977
1-Amazona_farinosa,0.3612083162153591,0.5861993860249065,0.2814793117127167,3533.4393517694452,3668.92662554544,5509.916015625,-13.247882642252016,0.04417853365853034,-0.014451347927197124,8.25,0.018781298771500587,0.09685546875,0.009887664578855038,0.26,671.328674,3356.6435549999997,0.284459
1-Amazona_farinosa,0.3719672788631666,0.588102164171516,0.2833518312708527,3582.061144613181,3726.2361704572695,5864.208984375,-14.009082860416965,0.05113711921305104,-0.0019897351501933307,14.2,0.018841715529561043,0.09420572916666667,0.012272167950868608,0.06000000000000005,727.272766,3972.0280759999996,0.34434500000000057
1-Amazona_farinosa,0.3701023325814344,0.6125019361372097,0.2844446422685126,3674.071262421495,3829.281012017107,6113.202114762931,-15.025935237113046,0.032202891169508904,-0.001988373691255149,14.75,0.015566354617476463,0.09602303340517243,0.01464756205677986,0.07000000000000006,615.3846440000001,3748.2517090000006,0.3293739999999996
1-Amazona_farinosa,0.4081895253681847,0.6145425510433559,0.2826699940618905,3414.1274348774764,3463.223589547099,5285.573167067308,-13.84294012952717,0.09653757120971168,0.0002654134708822094,6.5,0.025117754936218258,0.0965857872596154,0.011569794267416,0.020000000000000014,783.2167969999999,3972.0280759999996,0.2994310000000002
1-Amazona_farinosa,0.4172412172077905,0.6299796941895373,0.28259664275116964,3788.3588509738,3659.6892568854437,6188.895909926469,-14.113096368966307,0.0633585869480877,-0.008970753903533744,9.0,0.020452309399843216,0.1093893612132353,0.016618508845567703,0.06000000000000005,671.328674,4139.860352000001,0.38926000000000016
